0;0
4;51
7;82
17;110
19;121
21;147
22;184
25;185
26;189
28;193
35;197
39;199
43;202
52;204
60;207
69;208
71;211
75;212
78;216
84;217
94;220
101;224
106;226
107;227
112;231
121;232
122;233
127;234
185;235
214;237
281;285
284;314
294;343
297;360
304;377
307;399
316;412
325;413
328;417
335;420
344;423
351;426
360;427
368;430
372;432
381;436
386;440
388;443
397;445
400;448
405;449
409;451
411;455
418;456
426;459
429;460
436;461
442;464
477;478
502;503
564;568
571;604
575;639
585;681
592;711
596;724
598;752
606;753
613;757
623;760
633;761
639;763
643;764
651;766
656;768
657;771
664;772
674;774
683;775
693;776
698;778
706;779
711;783
712;787
720;789
721;791
722;794
724;795
749;799
781;802
857;860
862;891
866;923
873;949
875;975
885;1016
893;1025
901;1029
908;1032
