8,13
20,23
28,38
44,48
48,54
52,58
60,62
72,75
80,92
88,101
92,112
100,116
108,118
124,136
140,143
144,156
160,166
176,185
184,195
192,205
196,207
212,217
224,237
240,246
248,256
252,260
256,272
260,281
268,283
280,291
288,302
296,310
308,318
320,329
332,335
348,358
360,368
368,373
384,390
392,394
396,409
404,413
416,425
432,439
444,452
460,471
468,484
484,494
496,502
512,514
528,533
532,537
536,543
548,553
560,565
568,572
576,585
580,589
592,601
608,617
616,623
632,636
640,647
644,652
652,663
664,671
680,685
696,701
712,716
720,723
728,731
732,736
736,738
752,756
764,771
768,781
784,791
792,804
796,806
808,818
820,831
828,833
844,851
848,859
860,867
864,878
876,885
880,896
892,909
896,915
912,924
924,928
940,947
948,953
964,975
980,983
988,996
1000,1007
1008,1011
1020,1031
